instancia,grupo,n,vmc_costo,vmc_sin_asignar,vmc_tiempo_s,ins_costo,ins_sin_asignar,ins_tiempo_s
a05100,a,100,1719.00,0,0.00,1694.00,0,0.00
a05200,a,200,3259.00,0,0.00,3235.00,0,0.00
a10100,a,100,1370.00,0,0.00,1358.00,0,0.00
a10200,a,200,2657.00,0,0.00,2623.00,0,0.00
a20100,a,100,1177.00,0,0.00,1158.00,0,0.00
a20200,a,200,2369.00,0,0.00,2340.00,0,0.00
b05100,b,100,5669.00,30,0.00,5473.00,29,0.00
b05200,b,200,8703.00,39,0.00,9106.00,43,0.00
b10100,b,100,3461.00,14,0.00,4417.00,21,0.00
b10200,b,200,7551.00,33,0.00,8373.00,40,0.00
b20100,b,100,3157.00,13,0.00,3269.00,14,0.00
b20200,b,200,4945.00,17,0.00,5980.00,25,0.00
e05100,e,100,23799.00,6,0.00,40612.00,12,0.00
e05200,e,200,57228.00,14,0.00,137502.00,43,0.00
e10100,e,100,24261.00,7,0.00,61077.00,19,0.00
e10200,e,200,61811.00,18,0.00,148318.00,47,0.00
e10400,e,400,249218.00,79,0.00,410505.00,133,0.00
e20100,e,100,3791.00,0,0.00,2420.00,0,0.00
e20200,e,200,54165.00,16,0.00,145766.00,46,0.00
e20400,e,400,232167.00,74,0.00,419183.00,137,0.00
e40400,e,400,180792.00,57,0.00,506013.00,166,0.00
e15900,e,900,620956.00,198,0.00,818881.00,266,0.00
e30900,e,900,537376.00,173,0.00,902207.00,295,0.00
e60900,e,900,478813.00,154,0.00,1023132.00,336,0.00
e201600,e,1600,1068989.00,344,0.00,1567647.00,513,0.00
e401600,e,1600,1012219.00,328,0.00,1600339.00,526,0.00
e801600,e,1600,931184.00,302,0.00,1666354.00,549,0.01
real,r,1100,788.20,0,0.00,718.00,0,0.00
