instancia,grupo,constructiva,operador,costo_inicial,costo_final,mejora_pct,tiempo_s,pasadas
a05100,a,vmc,relocate_first,1719.0000,1719.0000,0.0000,0.0000,0
a05100,a,vmc,relocate_best,1719.0000,1719.0000,0.0000,0.0000,0
a05100,a,vmc,swap_first,1719.0000,1700.0000,1.1053,0.0000,3
a05100,a,vmc,swap_best,1719.0000,1700.0000,1.1053,0.0000,2
a05100,a,vmc,relocate_multiple,1719.0000,1719.0000,0.0000,0.0000,0
a05100,a,vmc,swap_multiple,1719.0000,1700.0000,1.1053,0.0000,2
a05100,a,insercion,relocate_first,1694.0000,1694.0000,0.0000,0.0000,0
a05100,a,insercion,relocate_best,1694.0000,1694.0000,0.0000,0.0000,0
a05100,a,insercion,swap_first,1694.0000,1694.0000,0.0000,0.0000,0
a05100,a,insercion,swap_best,1694.0000,1694.0000,0.0000,0.0000,0
a05100,a,insercion,relocate_multiple,1694.0000,1694.0000,0.0000,0.0000,0
a05100,a,insercion,swap_multiple,1694.0000,1694.0000,0.0000,0.0000,0
a05200,a,vmc,relocate_first,3259.0000,3259.0000,0.0000,0.0000,0
a05200,a,vmc,relocate_best,3259.0000,3259.0000,0.0000,0.0000,0
a05200,a,vmc,swap_first,3259.0000,3238.0000,0.6444,0.0001,7
a05200,a,vmc,swap_best,3259.0000,3238.0000,0.6444,0.0001,4
a05200,a,vmc,relocate_multiple,3259.0000,3259.0000,0.0000,0.0000,0
a05200,a,vmc,swap_multiple,3259.0000,3238.0000,0.6444,0.0002,4
a05200,a,insercion,relocate_first,3235.0000,3235.0000,0.0000,0.0000,0
a05200,a,insercion,relocate_best,3235.0000,3235.0000,0.0000,0.0000,0
a05200,a,insercion,swap_first,3235.0000,3235.0000,0.0000,0.0000,0
a05200,a,insercion,swap_best,3235.0000,3235.0000,0.0000,0.0000,0
a05200,a,insercion,relocate_multiple,3235.0000,3235.0000,0.0000,0.0000,0
a05200,a,insercion,swap_multiple,3235.0000,3235.0000,0.0000,0.0002,0
a10100,a,vmc,relocate_first,1370.0000,1370.0000,0.0000,0.0000,0
a10100,a,vmc,relocate_best,1370.0000,1370.0000,0.0000,0.0000,0
a10100,a,vmc,swap_first,1370.0000,1362.0000,0.5839,0.0000,3
