instancia,grupo,metodo,costo_inicial,costo_final,mejora_pct,tiempo_s
a05100,a,solo_relocate,1694.0000,1694.0000,0.0000,0.0000
a05100,a,solo_swap,1694.0000,1694.0000,0.0000,0.0000
a05100,a,vnd_relocate_swap,1694.0000,1694.0000,0.0000,0.0000
a05100,a,vnd_completo,1694.0000,1694.0000,0.0000,0.0018
a05200,a,solo_relocate,3235.0000,3235.0000,0.0000,0.0000
a05200,a,solo_swap,3235.0000,3235.0000,0.0000,0.0000
a05200,a,vnd_relocate_swap,3235.0000,3235.0000,0.0000,0.0000
a05200,a,vnd_completo,3235.0000,3235.0000,0.0000,0.0124
a10100,a,solo_relocate,1358.0000,1358.0000,0.0000,0.0000
a10100,a,solo_swap,1358.0000,1358.0000,0.0000,0.0000
a10100,a,vnd_relocate_swap,1358.0000,1358.0000,0.0000,0.0000
a10100,a,vnd_completo,1358.0000,1358.0000,0.0000,0.0011
a10200,a,solo_relocate,2623.0000,2623.0000,0.0000,0.0000
a10200,a,solo_swap,2623.0000,2623.0000,0.0000,0.0000
a10200,a,vnd_relocate_swap,2623.0000,2623.0000,0.0000,0.0000
a10200,a,vnd_completo,2623.0000,2623.0000,0.0000,0.0096
a20100,a,solo_relocate,1158.0000,1158.0000,0.0000,0.0000
a20100,a,solo_swap,1158.0000,1158.0000,0.0000,0.0000
a20100,a,vnd_relocate_swap,1158.0000,1158.0000,0.0000,0.0000
a20100,a,vnd_completo,1158.0000,1157.0000,0.0864,0.0010
a20200,a,solo_relocate,2340.0000,2340.0000,0.0000,0.0000
a20200,a,solo_swap,2340.0000,2340.0000,0.0000,0.0000
a20200,a,vnd_relocate_swap,2340.0000,2340.0000,0.0000,0.0000
a20200,a,vnd_completo,2340.0000,2340.0000,0.0000,0.0021
b05100,b,solo_relocate,5473.0000,5473.0000,0.0000,0.0000
b05100,b,solo_swap,5473.0000,5473.0000,0.0000,0.0000
b05100,b,vnd_relocate_swap,5473.0000,5473.0000,0.0000,0.0000
b05100,b,vnd_completo,5473.0000,5461.0000,0.2193,0.0010
b05200,b,solo_relocate,8703.0000,8703.0000,0.0000,0.0000
b05200,b,solo_swap,8703.0000,8542.0000,1.8499,0.0003
b05200,b,vnd_relocate_swap,8703.0000,8529.0000,1.9993,0.0004
b05200,b,vnd_completo,8703.0000,8396.0000,3.5275,0.0184
b10100,b,solo_relocate,3461.0000,3461.0000,0.0000,0.0000
b10100,b,solo_swap,3461.0000,3381.0000,2.3115,0.0001
b10100,b,vnd_relocate_swap,3461.0000,3381.0000,2.3115,0.0001
b10100,b,vnd_completo,3461.0000,3324.0000,3.9584,0.0032
